id,customer_id,subject,priority,status,category,created_at,resolved_at,satisfaction,assigned_agent
1,15,SSO integration failing,critical,in_progress,security,2025-09-23,,,Alice Johnson
2,18,Contract renewal question,low,resolved,onboarding,2025-08-26,2025-12-09,5,Carol Davis
3,24,Dashboard loads slowly,critical,closed,feature_request,2025-10-08,2025-08-18,3,Bob Williams
4,21,Onboarding help needed,medium,closed,onboarding,2025-05-22,2025-09-25,4,Carol Davis
5,11,2FA setup issue,low,resolved,technical,2025-05-01,2025-05-21,4,Alice Johnson
6,23,Performance degradation,medium,in_progress,technical,2025-03-20,,,Carol Davis
7,14,SSO integration failing,critical,in_progress,billing,2025-08-27,,,Carol Davis
8,28,API key rotation help,critical,closed,feature_request,2025-10-27,2025-12-24,3,Carol Davis
9,18,2FA setup issue,low,closed,security,2025-06-02,2025-07-20,4,Alice Johnson
10,16,API rate limiting errors,critical,in_progress,feature_request,2025-08-12,,,Bob Williams
11,18,API rate limiting errors,critical,resolved,feature_request,2025-08-28,2025-03-08,5,
12,5,CSV import failing,low,open,billing,2025-08-08,,,Support Bot
13,11,Password reset loop,high,resolved,onboarding,2025-04-19,2025-08-22,4,Carol Davis
14,18,SSO integration failing,high,closed,onboarding,2025-08-29,2025-01-11,5,Alice Johnson
15,7,API rate limiting errors,low,closed,security,2025-01-21,2025-01-17,3,Alice Johnson
16,19,Performance degradation,medium,open,feature_request,2025-02-28,,,Bob Williams
17,25,Cannot login,high,in_progress,onboarding,2025-02-28,,,Support Bot
18,13,Performance degradation,low,closed,technical,2025-10-22,2025-12-14,4,
19,28,Contract renewal question,medium,open,technical,2025-06-04,,,
20,22,Mobile app crash,low,in_progress,technical,2025-08-08,,,
21,27,Dashboard loads slowly,high,open,technical,2025-08-04,,,Carol Davis
22,14,Cannot login,high,resolved,security,2025-08-24,2025-12-30,3,Bob Williams
23,27,Billing discrepancy,critical,resolved,onboarding,2025-05-18,2025-06-16,3,Carol Davis
24,13,Custom report broken,medium,closed,technical,2025-10-19,2025-11-10,5,Carol Davis
25,12,Trial extension request,high,in_progress,onboarding,2025-04-19,,,Bob Williams
26,8,Webhook not firing,high,resolved,feature_request,2025-09-22,2025-04-09,3,
27,3,GDPR data deletion request,medium,resolved,billing,2025-09-09,2025-08-19,3,Carol Davis
28,12,Dashboard loads slowly,medium,in_progress,security,2025-10-25,,,
29,23,CSV import failing,high,resolved,onboarding,2025-10-09,2025-06-20,4,Bob Williams
30,11,Data export not working,high,in_progress,security,2025-04-09,,,Alice Johnson
31,9,API key rotation help,medium,in_progress,security,2025-09-05,,,
32,12,Cannot login,high,closed,onboarding,2025-04-10,2025-06-02,3,Support Bot
33,18,GDPR data deletion request,medium,in_progress,billing,2025-01-28,,,Carol Davis
34,16,CSV import failing,low,closed,onboarding,2025-10-21,2025-05-27,4,Alice Johnson
35,4,Billing discrepancy,low,in_progress,feature_request,2025-09-02,,,Carol Davis
36,26,API key rotation help,low,resolved,onboarding,2025-01-28,2025-03-20,3,Support Bot
37,20,Contract renewal question,medium,open,security,2025-08-02,,,Alice Johnson
38,14,GDPR data deletion request,critical,resolved,security,2025-08-15,2025-06-03,5,
39,7,Trial extension request,low,resolved,technical,2025-02-20,2025-04-18,5,Alice Johnson
40,6,API rate limiting errors,medium,in_progress,feature_request,2025-02-08,,,Carol Davis
41,10,GDPR data deletion request,critical,in_progress,feature_request,2025-04-29,,,Support Bot
